customer_name,rating,content,review_date,source,tags,sentiment
禹女士,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-08-03,美团,"生日宴,服务",好评
贾女士,5,红烧肉入口即化，服务员介绍得很仔细。,2026-08-03,线下,"菜品口味,服务",好评
何先生,2,菜品整体还行，但服务员叫了两次才过来加茶。,2026-08-03,线下,"服务响应,高峰期",差评
舒女士,4,服务态度好，上菜节奏周末白天也还行。,2026-07-29,微信,服务,好评
马女士,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-07-29,美团,"环境,菜品口味",好评
邢女士,5,商务招待用地不错，包间私密，菜品摆盘好看。,2026-07-27,美团,"商务宴请,环境",好评
魏先生,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-07-26,美团,"环境,菜品口味",好评
郭女士,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-07-26,微信,"生日宴,服务",好评
明先生,5,清蒸海鲜很鲜，配菜也入味，适合一家人吃饭。,2026-07-24,线下,"海鲜,家庭聚餐",好评
胡女士,4,朋友聚餐选这里很合适，菜品丰富，分量也够。,2026-07-24,微信,"朋友聚餐,菜品口味",好评
戴先生,4,朋友聚餐选这里很合适，菜品丰富，分量也够。,2026-07-24,大众点评,"朋友聚餐,菜品口味",好评
吉女士,5,商务招待用地不错，包间私密，菜品摆盘好看。,2026-07-22,美团,"商务宴请,环境",好评
计先生,5,环境干净上档次，包间安静，很适合家庭聚餐。,2026-07-22,线下,"环境,家庭聚餐",好评
郑女士,3,环境不错，个别菜价格偏高。,2026-07-22,美团,"环境,价格",中评
茅女士,5,商务招待用地不错，包间私密，菜品摆盘好看。,2026-07-21,线下,"商务宴请,环境",好评
裴先生,5,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-07-21,微信,"海鲜,菜品口味,家庭聚餐",好评
韦先生,3,味道可以，高峰期服务员有点忙不过来。,2026-07-21,线下,"菜品口味,服务响应",中评
莫先生,4,服务态度好，上菜节奏周末白天也还行。,2026-07-18,线下,服务,好评
程女士,5,清蒸海鲜很鲜，配菜也入味，适合一家人吃饭。,2026-07-17,线下,"海鲜,家庭聚餐",好评
许先生,4,服务态度好，上菜节奏周末白天也还行。,2026-07-17,微信,服务,好评
萧女士,4,服务态度好，上菜节奏周末白天也还行。,2026-07-17,微信,服务,好评
路先生,3,环境不错，个别菜价格偏高。,2026-07-16,大众点评,"环境,价格",中评
舒女士,5,红烧肉入口即化，服务员介绍得很仔细。,2026-07-15,大众点评,"菜品口味,服务",好评
朱女士,5,环境干净上档次，包间安静，很适合家庭聚餐。,2026-07-14,线下,"环境,家庭聚餐",好评
崔先生,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-07-13,大众点评,"生日宴,服务",好评
郭女士,5,红烧肉入口即化，服务员介绍得很仔细。,2026-07-12,大众点评,"菜品口味,服务",好评
邹先生,5,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-07-12,大众点评,"海鲜,菜品口味,家庭聚餐",好评
石女士,5,商务招待用地不错，包间私密，菜品摆盘好看。,2026-07-11,线下,"商务宴请,环境",好评
徐先生,3,味道可以，高峰期服务员有点忙不过来。,2026-07-08,大众点评,"菜品口味,服务响应",中评
龚女士,5,蒜蓉粉丝扇贝很赞，海鲜新鲜，会再来。,2026-07-06,美团,"海鲜,菜品口味",好评
羊先生,2,菜品整体还行，但服务员叫了两次才过来加茶。,2026-07-06,美团,"服务响应,高峰期",差评
谢先生,4,服务态度好，上菜节奏周末白天也还行。,2026-07-05,线下,服务,好评
毛先生,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-07-05,大众点评,"生日宴,服务",好评
宋先生,5,环境干净上档次，包间安静，很适合家庭聚餐。,2026-07-05,微信,"环境,家庭聚餐",好评
贝先生,5,蒜蓉粉丝扇贝很赞，海鲜新鲜，会再来。,2026-07-03,微信,"海鲜,菜品口味",好评
路先生,3,环境不错，个别菜价格偏高。,2026-07-02,大众点评,"环境,价格",中评
蒋先生,2,有的海鲜小贵，性价比一般。,2026-07-01,美团,"价格,海鲜",差评
魏先生,5,清蒸海鲜很鲜，配菜也入味，适合一家人吃饭。,2026-06-29,美团,"海鲜,家庭聚餐",好评
王先生,5,商务招待用地不错，包间私密，菜品摆盘好看。,2026-06-29,线下,"商务宴请,环境",好评
薛女士,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-06-29,美团,"环境,菜品口味",好评
云先生,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-06-29,微信,"生日宴,服务",好评
金女士,5,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-06-28,大众点评,"海鲜,菜品口味,家庭聚餐",好评
戚先生,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-06-27,线下,"生日宴,服务",好评
曹女士,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-06-22,大众点评,"环境,菜品口味",好评
祁女士,5,红烧肉入口即化，服务员介绍得很仔细。,2026-06-21,微信,"菜品口味,服务",好评
魏女士,4,服务态度好，上菜节奏周末白天也还行。,2026-06-18,大众点评,服务,好评
戴先生,4,环境干净上档次，包间安静，很适合家庭聚餐。,2026-06-16,微信,"环境,家庭聚餐",好评
荀女士,4,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-06-15,大众点评,"海鲜,菜品口味,家庭聚餐",好评
卫先生,5,海鲜很新鲜，清蒸鲈鱼做得正好，家人都说好吃。,2026-06-14,线下,"海鲜,菜品口味,家庭聚餐",好评
杨先生,3,菜很好吃，就是周末晚上有点慢。,2026-06-14,美团,"菜品口味,上菜速度",中评
娄女士,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-06-12,线下,"生日宴,服务",好评
陶女士,5,清蒸海鲜很鲜，配菜也入味，适合一家人吃饭。,2026-06-11,大众点评,"海鲜,家庭聚餐",好评
蓝先生,2,周六晚餐等位加上上菜，等了挺久，希望高峰期能快一点。,2026-06-10,大众点评,"上菜速度,高峰期",差评
胡先生,3,环境不错，个别菜价格偏高。,2026-06-09,大众点评,"环境,价格",中评
孔先生,3,环境不错，个别菜价格偏高。,2026-06-09,线下,"环境,价格",中评
魏先生,2,周六晚餐等位加上上菜，等了挺久，希望高峰期能快一点。,2026-06-09,大众点评,"上菜速度,高峰期",差评
苏先生,4,服务态度好，上菜节奏周末白天也还行。,2026-06-07,美团,服务,好评
宗先生,4,朋友聚餐选这里很合适，菜品丰富，分量也够。,2026-06-06,线下,"朋友聚餐,菜品口味",好评
卫先生,2,菜品整体还行，但服务员叫了两次才过来加茶。,2026-06-06,美团,"服务响应,高峰期",差评
杜女士,5,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-06-05,线下,"生日宴,服务",好评
林先生,4,汇海路这家宴江南停车还算方便，味道稳定。,2026-06-04,大众点评,"环境,菜品口味",好评
曹先生,3,菜很好吃，就是周末晚上有点慢。,2026-06-04,线下,"菜品口味,上菜速度",中评
戚女士,2,有的海鲜小贵，性价比一般。,2026-06-03,线下,"价格,海鲜",差评
邓女士,4,孩子过生日订了小包间，店里还准备了寿面，很贴心。,2026-06-02,线下,"生日宴,服务",好评
苗女士,2,有的海鲜小贵，性价比一般。,2026-06-02,美团,"价格,海鲜",差评
惠先生,3,菜很好吃，就是周末晚上有点慢。,2026-06-01,微信,"菜品口味,上菜速度",中评
